text,label
Пример технической спецификации. информация данные служебная документ информация.,0
График отпусков и больничных. документ документ отчёт.,1
Внутреннее письмо по кадровым вопросам. отчёт информация информация информация служебная.,1
Локальный текст без ценности. отчёт данные данные служебная информация.,0
Локальный текст без ценности. отчёт документ информация служебная отчёт.,0
Черновик документа. отчёт отчёт служебная документ документ.,0
Локальный текст без ценности. данные данные служебная отчёт.,0
Локальный текст без ценности. отчёт отчёт служебная данные служебная.,0
Паспорт гражданина РФ: серия 1111 номер 222222. отчёт информация данные отчёт документ.,2
Общий шаблон письма. данные служебная.,0
Контакты партнеров и поставщиков. служебная отчёт документ.,1
Реквизиты и конфиденциальные данные клиентов. информация служебная информация информация.,2
Сведения о зарплатах сотрудников. отчёт документ.,2
Внутреннее письмо по кадровым вопросам. информация данные служебная.,1
Общий шаблон письма. отчёт информация отчёт документ информация.,0
Контакты партнеров и поставщиков. служебная отчёт.,1
ИНН организации: 7701234567. данные отчёт информация данные отчёт.,2
Черновик документа. информация документ.,0
График отпусков и больничных. данные служебная документ.,1
Контакты партнеров и поставщиков. данные документ.,1
Презентация компании без данных. отчёт документ данные.,0
График отпусков и больничных. данные служебная документ документ информация.,1
ИНН организации: 7701234567. данные служебная.,2
Банковская карта: 4000 1234 5678 9010. служебная служебная.,2
Презентация компании без данных. служебная данные документ служебная отчёт.,0
Паспорт гражданина РФ: серия 1111 номер 222222. данные служебная.,2
Паспорт гражданина РФ: серия 1111 номер 222222. информация служебная информация информация.,2
Черновик документа. данные служебная информация служебная.,0
Реквизиты и конфиденциальные данные клиентов. служебная служебная отчёт.,2
Черновик документа. документ информация.,0
Локальный текст без ценности. информация документ.,0
Контакты партнеров и поставщиков. информация данные данные.,1
Общий шаблон письма. информация отчёт информация данные.,0
Локальный текст без ценности. документ данные.,0
Должностные инструкции. данные данные служебная.,1
Контакты партнеров и поставщиков. отчёт информация документ данные информация.,1
Презентация компании без данных. документ документ информация.,0
Презентация компании без данных. информация информация служебная.,0
Список сотрудников отдела. документ данные служебная данные.,1
Должностные инструкции. служебная отчёт служебная служебная отчёт.,1
Презентация компании без данных. отчёт документ служебная.,0
Черновик документа. документ служебная информация.,0
Черновик документа. информация отчёт документ.,0
Локальный текст без ценности. данные данные.,0
Презентация компании без данных. данные данные.,0
Презентация компании без данных. документ служебная.,0
Список сотрудников отдела. информация документ документ информация отчёт.,1
Пример технической спецификации. служебная информация данные данные.,0
Презентация компании без данных. информация документ служебная.,0
Список сотрудников отдела. данные служебная отчёт отчёт данные.,1
Пример технической спецификации. данные отчёт документ.,0
Общий шаблон письма. документ служебная информация служебная данные.,0
Паспорт гражданина РФ: серия 1111 номер 222222. информация отчёт информация документ документ.,2
Презентация компании без данных. данные служебная данные.,0
Презентация компании без данных. данные информация отчёт служебная информация.,0
Пример технической спецификации. данные отчёт документ данные.,0
Паспорт гражданина РФ: серия 1111 номер 222222. информация данные отчёт данные данные.,2
Список сотрудников отдела. информация данные служебная данные.,1
Паспорт гражданина РФ: серия 1111 номер 222222. служебная данные документ данные информация.,2
Общий шаблон письма. данные документ данные.,0
Список сотрудников отдела. документ данные данные отчёт.,1
Локальный текст без ценности. служебная отчёт отчёт отчёт данные.,0
Контакты партнеров и поставщиков. документ служебная.,1
Общий шаблон письма. служебная данные информация информация данные.,0
Внутреннее письмо по кадровым вопросам. информация отчёт служебная.,1
Черновик документа. отчёт служебная.,0
Черновик документа. отчёт отчёт служебная.,0
Контакты партнеров и поставщиков. документ данные документ служебная отчёт.,1
Общий шаблон письма. отчёт информация информация данные данные.,0
ИНН организации: 7701234567. отчёт служебная информация информация отчёт.,2
Сведения о зарплатах сотрудников. служебная служебная данные.,2
Локальный текст без ценности. данные отчёт документ.,0
Сведения о зарплатах сотрудников. отчёт информация служебная.,2
Список сотрудников отдела. данные служебная.,1
Контакты партнеров и поставщиков. документ данные.,1
ИНН организации: 7701234567. служебная информация служебная.,2
Локальный текст без ценности. отчёт служебная служебная служебная отчёт.,0
Общий шаблон письма. служебная информация документ данные.,0
Презентация компании без данных. служебная отчёт.,0
Контакты партнеров и поставщиков. данные документ документ.,1
Локальный текст без ценности. служебная информация отчёт.,0
Сведения о зарплатах сотрудников. документ служебная служебная отчёт отчёт.,2
Контакты партнеров и поставщиков. данные документ информация.,1
Список сотрудников отдела. информация отчёт служебная.,1
Черновик документа. информация информация документ информация.,0
Презентация компании без данных. отчёт служебная данные служебная.,0
Пример технической спецификации. отчёт отчёт документ информация.,0
ИНН организации: 7701234567. отчёт информация.,2
Реквизиты и конфиденциальные данные клиентов. служебная информация.,2
ИНН организации: 7701234567. отчёт служебная документ служебная служебная.,2
Банковская карта: 4000 1234 5678 9010. отчёт служебная.,2
График отпусков и больничных. данные информация данные.,1
Контакты партнеров и поставщиков. данные отчёт документ служебная служебная.,1
Презентация компании без данных. документ документ служебная информация данные.,0
Презентация компании без данных. данные документ.,0
Презентация компании без данных. документ данные информация.,0
Локальный текст без ценности. информация информация документ.,0
Общий шаблон письма. служебная информация отчёт.,0
Контакты партнеров и поставщиков. отчёт отчёт данные документ.,1
Общий шаблон письма. данные документ.,0
Презентация компании без данных. данные служебная информация отчёт данные.,0
Презентация компании без данных. данные отчёт.,0
ИНН организации: 7701234567. служебная отчёт.,2
Список сотрудников отдела. информация документ.,1
Общий шаблон письма. информация данные отчёт.,0
Пример технической спецификации. данные информация служебная служебная.,0
Контакты партнеров и поставщиков. отчёт информация данные документ.,1
Локальный текст без ценности. информация документ отчёт документ документ.,0
Презентация компании без данных. отчёт информация отчёт документ.,0
Паспорт гражданина РФ: серия 1111 номер 222222. отчёт информация отчёт отчёт служебная.,2
Черновик документа. данные информация отчёт.,0
Пример технической спецификации. документ документ информация.,0
Должностные инструкции. данные служебная документ служебная.,1
Должностные инструкции. данные документ документ служебная.,1
Список сотрудников отдела. служебная служебная документ служебная.,1
Черновик документа. служебная отчёт.,0
Пример технической спецификации. документ информация.,0
Сведения о зарплатах сотрудников. данные документ служебная отчёт.,2
Сведения о зарплатах сотрудников. информация отчёт документ отчёт.,2
Презентация компании без данных. данные информация отчёт документ документ.,0
Презентация компании без данных. отчёт служебная отчёт документ.,0
Локальный текст без ценности. служебная информация данные документ.,0
Локальный текст без ценности. информация служебная.,0
Общий шаблон письма. данные документ.,0
ИНН организации: 7701234567. информация служебная отчёт отчёт.,2
График отпусков и больничных. информация служебная.,1
Паспорт гражданина РФ: серия 1111 номер 222222. отчёт документ документ документ.,2
Черновик документа. информация информация данные.,0
Реквизиты и конфиденциальные данные клиентов. данные служебная.,2
Банковская карта: 4000 1234 5678 9010. данные служебная служебная отчёт документ.,2
Список сотрудников отдела. данные информация.,1
Список сотрудников отдела. данные информация отчёт данные.,1
Внутреннее письмо по кадровым вопросам. документ данные отчёт.,1
Локальный текст без ценности. служебная документ.,0
Список сотрудников отдела. данные данные отчёт отчёт отчёт.,1
Контакты партнеров и поставщиков. документ документ служебная документ служебная.,1
Должностные инструкции. служебная документ документ.,1
Должностные инструкции. служебная отчёт информация данные документ.,1
Контакты партнеров и поставщиков. данные данные информация.,1
Пример технической спецификации. отчёт информация служебная служебная данные.,0
Общий шаблон письма. отчёт информация служебная документ.,0
Список сотрудников отдела. данные данные отчёт отчёт.,1
Внутреннее письмо по кадровым вопросам. служебная документ документ.,1
Сведения о зарплатах сотрудников. документ данные документ служебная информация.,2
Презентация компании без данных. данные данные отчёт данные.,0
Презентация компании без данных. информация служебная информация служебная.,0
Локальный текст без ценности. отчёт информация отчёт.,0
Черновик документа. данные данные служебная.,0
Сведения о зарплатах сотрудников. данные служебная данные информация.,2
Паспорт гражданина РФ: серия 1111 номер 222222. документ отчёт.,2
Должностные инструкции. информация служебная документ документ отчёт.,1
Презентация компании без данных. данные служебная.,0
Сведения о зарплатах сотрудников. данные документ информация.,2
Черновик документа. документ отчёт данные данные.,0
Сведения о зарплатах сотрудников. данные данные данные документ.,2
График отпусков и больничных. служебная документ.,1
Сведения о зарплатах сотрудников. документ данные.,2
Общий шаблон письма. служебная служебная.,0
Внутреннее письмо по кадровым вопросам. документ отчёт служебная информация.,1
Пример технической спецификации. отчёт информация.,0
Должностные инструкции. данные отчёт служебная документ информация.,1
Банковская карта: 4000 1234 5678 9010. документ служебная документ информация данные.,2
Черновик документа. документ информация.,0
Черновик документа. служебная отчёт.,0
ИНН организации: 7701234567. данные отчёт документ.,2
Презентация компании без данных. информация отчёт информация документ.,0
График отпусков и больничных. служебная документ.,1
Пример технической спецификации. документ отчёт служебная служебная.,0
Реквизиты и конфиденциальные данные клиентов. информация информация.,2
Список сотрудников отдела. документ служебная документ.,1
Презентация компании без данных. документ документ.,0
Локальный текст без ценности. документ данные.,0
График отпусков и больничных. документ отчёт информация информация.,1
Черновик документа. документ документ служебная отчёт.,0
Общий шаблон письма. информация данные данные документ документ.,0
Презентация компании без данных. отчёт документ служебная документ данные.,0
Банковская карта: 4000 1234 5678 9010. отчёт информация информация информация.,2
Список сотрудников отдела. документ информация.,1
Должностные инструкции. документ документ данные отчёт.,1
Пример технической спецификации. служебная данные отчёт отчёт.,0
Контакты партнеров и поставщиков. информация информация отчёт отчёт информация.,1
Паспорт гражданина РФ: серия 1111 номер 222222. служебная данные.,2
Внутреннее письмо по кадровым вопросам. отчёт документ информация.,1
Должностные инструкции. информация данные данные документ отчёт.,1
Контакты партнеров и поставщиков. информация информация данные отчёт.,1
Черновик документа. отчёт служебная служебная информация.,0
Реквизиты и конфиденциальные данные клиентов. отчёт документ информация данные служебная.,2
Черновик документа. данные документ.,0
График отпусков и больничных. информация данные данные служебная данные.,1
Список сотрудников отдела. информация документ информация информация отчёт.,1
График отпусков и больничных. служебная документ.,1
Локальный текст без ценности. информация отчёт данные отчёт документ.,0
Черновик документа. данные данные документ документ.,0
Локальный текст без ценности. информация документ документ отчёт служебная.,0
Локальный текст без ценности. отчёт документ.,0
Контакты партнеров и поставщиков. информация документ документ.,1
Черновик документа. документ служебная отчёт отчёт.,0
Презентация компании без данных. информация информация данные отчёт данные.,0
Черновик документа. служебная отчёт данные.,0
Черновик документа. отчёт данные.,0
Внутреннее письмо по кадровым вопросам. служебная служебная документ служебная информация.,1
Должностные инструкции. данные информация данные информация документ.,1
Контакты партнеров и поставщиков. отчёт информация данные информация.,1
Внутреннее письмо по кадровым вопросам. отчёт отчёт документ информация информация.,1
Внутреннее письмо по кадровым вопросам. отчёт документ.,1
Общий шаблон письма. документ данные служебная данные информация.,0
Общий шаблон письма. отчёт документ документ отчёт.,0
Общий шаблон письма. документ документ данные документ.,0
Паспорт гражданина РФ: серия 1111 номер 222222. служебная документ документ.,2
Черновик документа. информация отчёт отчёт служебная.,0
Реквизиты и конфиденциальные данные клиентов. отчёт данные информация.,2
Презентация компании без данных. документ отчёт информация данные служебная.,0
Презентация компании без данных. документ отчёт информация служебная.,0
Должностные инструкции. данные данные.,1
Сведения о зарплатах сотрудников. информация служебная.,2
Черновик документа. отчёт отчёт данные отчёт.,0
Должностные инструкции. информация информация служебная.,1
Паспорт гражданина РФ: серия 1111 номер 222222. отчёт данные данные данные.,2
Контакты партнеров и поставщиков. документ служебная информация служебная.,1
Список сотрудников отдела. данные служебная.,1
Локальный текст без ценности. данные служебная данные данные данные.,0
Должностные инструкции. отчёт документ отчёт документ.,1
Должностные инструкции. документ данные служебная.,1
Локальный текст без ценности. служебная служебная отчёт.,0
Общий шаблон письма. документ отчёт отчёт отчёт.,0
Общий шаблон письма. информация данные.,0
Общий шаблон письма. документ служебная.,0
Внутреннее письмо по кадровым вопросам. служебная данные.,1
Банковская карта: 4000 1234 5678 9010. служебная документ документ информация.,2
Локальный текст без ценности. данные данные отчёт.,0
Общий шаблон письма. информация документ данные.,0
Локальный текст без ценности. служебная данные документ.,0
Пример технической спецификации. документ служебная служебная.,0
Общий шаблон письма. данные информация.,0
Контакты партнеров и поставщиков. информация документ информация информация информация.,1
Список сотрудников отдела. документ данные.,1
Черновик документа. служебная отчёт служебная отчёт.,0
Паспорт гражданина РФ: серия 1111 номер 222222. данные информация информация отчёт.,2
Контакты партнеров и поставщиков. данные документ служебная служебная.,1
Банковская карта: 4000 1234 5678 9010. информация информация.,2
Локальный текст без ценности. отчёт данные.,0
Черновик документа. служебная информация отчёт документ отчёт.,0
Пример технической спецификации. документ данные документ информация служебная.,0
График отпусков и больничных. служебная данные.,1
ИНН организации: 7701234567. документ данные документ.,2
Локальный текст без ценности. данные служебная.,0
Локальный текст без ценности. данные данные.,0
Черновик документа. отчёт служебная документ.,0
Черновик документа. информация информация служебная служебная информация.,0
График отпусков и больничных. информация отчёт информация служебная.,1
Локальный текст без ценности. документ отчёт.,0
Локальный текст без ценности. служебная документ информация документ отчёт.,0
Локальный текст без ценности. документ данные документ документ служебная.,0
Черновик документа. документ документ.,0
Черновик документа. документ отчёт отчёт отчёт.,0
Черновик документа. данные служебная документ отчёт.,0
Пример технической спецификации. информация данные документ служебная информация.,0
Должностные инструкции. данные информация документ.,1
Контакты партнеров и поставщиков. служебная служебная.,1
Внутреннее письмо по кадровым вопросам. информация служебная.,1
Список сотрудников отдела. документ документ служебная информация.,1
Черновик документа. данные документ служебная.,0
Общий шаблон письма. информация отчёт информация.,0
Презентация компании без данных. данные отчёт.,0
Презентация компании без данных. отчёт служебная данные.,0
Пример технической спецификации. данные служебная отчёт.,0
Общий шаблон письма. документ отчёт данные информация информация.,0
Презентация компании без данных. документ служебная документ информация информация.,0
Реквизиты и конфиденциальные данные клиентов. документ данные информация.,2
Локальный текст без ценности. служебная документ отчёт документ отчёт.,0
Локальный текст без ценности. отчёт служебная информация документ.,0
Общий шаблон письма. данные служебная информация документ документ.,0
Внутреннее письмо по кадровым вопросам. служебная информация информация отчёт.,1
Внутреннее письмо по кадровым вопросам. документ документ.,1
График отпусков и больничных. отчёт документ информация данные.,1
Должностные инструкции. отчёт служебная отчёт.,1
Черновик документа. служебная служебная.,0
Пример технической спецификации. отчёт служебная.,0
Общий шаблон письма. документ данные.,0
Контакты партнеров и поставщиков. документ информация.,1
Презентация компании без данных. информация информация отчёт.,0
Банковская карта: 4000 1234 5678 9010. информация информация.,2
Пример технической спецификации. информация документ.,0
Список сотрудников отдела. информация документ информация отчёт.,1
Контакты партнеров и поставщиков. документ служебная.,1
Паспорт гражданина РФ: серия 1111 номер 222222. данные документ документ.,2
Локальный текст без ценности. отчёт отчёт информация информация.,0
Должностные инструкции. отчёт документ документ данные.,1
Локальный текст без ценности. информация отчёт данные отчёт.,0
Пример технической спецификации. документ отчёт документ информация информация.,0
График отпусков и больничных. информация данные.,1
Пример технической спецификации. информация информация отчёт служебная документ.,0
График отпусков и больничных. данные служебная.,1
Список сотрудников отдела. документ служебная.,1
Черновик документа. данные документ отчёт служебная информация.,0
